10000 100000
570 9690 10
2463 9227 7
3443 4434 9
8460 9219 6
9788 1058 10
2069 9307 5
9270 1798 3
4189 8201 8
3376 2625 9
7029 5263 7
4846 1219 3
720 1616 7
6115 8464 8
785 4810 1
7589 9414 8
7177 7291 4
8220 3510 3
8091 751 6
4070 7406 7
4630 2587 5
1171 604 7
2719 2217 6
8099 3381 7
5253 2568 8
994 9722 8
1371 7935 4
1661 6422 6
2628 8570 10
3121 3031 9
7759 6115 4
1279 8799 6
6972 2420 3
8307 7695 4
5541 9240 2
2223 8903 2
2822 4376 1
8613 7267 2
2132 5511 2
2505 8449 5
3394 7386 8
3704 5199 10
6445 1927 10
2944 1223 6
8730 4091 1
7648 5373 4
5689 96 1
850 8978 3
5972 7008 5
5307 7065 2
5430 5129 2
9782 974 7
3983 5472 8
1091 4395 6
8510 2836 6
9092 2027 6
2024 9334 9
9786 9244 5
5396 6521 10
8151 9600 8
30 9588 1
6357 5274 2
5813 7349 4
2916 1821 5
9646 7415 8
9821 3049 3
211 9433 5
3022 5577 1
8753 4894 7
1186 4612 10
6180 3256 4
3787 1452 8
3541 8798 5
5912 5556 3
4913 5800 9
1553 1649 5
9447 4646 3
3094 4817 4
1724 6315 5
5387 9669 1
3833 831 5
5654 9247 8
4695 4204 5
2539 7111 6
5625 3382 5
9391 4203 10
5126 4495 8
1487 6534 4
5684 6864 3
7644 519 7
2227 3777 10
601 6877 6
6236 565 1
4978 5538 7
7103 912 4
4546 9306 10
6963 2178 8
9787 4710 8
1981 2079 4
6050 8793 5
5797 134 1
5254 4265 9
9876 7120 4
4672 8507 5
5789 7564 4
1578 5475 8
4704 4286 10
7358 3723 1
6563 2930 6
4878 1098 10
8548 3242 8
1630 5161 10
9503 7434 2
5301 9570 9
1245 5431 4
4075 6767 4
3003 639 4
2974 2765 4
2500 3907 3
3536 8789 1
3919 1498 10
4244 3335 10
8529 2015 2
2903 1350 10
2921 202 5
3882 1606 3
5870 165 5
9500 5119 7
2609 5883 4
4892 3458 8
1550 339 10
730 1251 9
6032 4663 4
137 3508 10
2513 673 7
8254 5927 3
3351 6357 7
9546 8491 10
2062 8230 7
8986 2696 8
1022 3313 3
1843 27 3
6637 6848 1
9472 3339 10
8637 8607 1
6782 412 10
9148 2014 10
7264 6736 10
7447 5197 2
8903 6462 6
5128 6901 5
7228 4342 2
8946 6795 4
3495 5121 8
7071 8592 7
7173 3204 3
8662 2281 4
8622 3220 8
6975 5929 7
7287 5446 4
8029 3683 7
3325 588 9
2094 3025 6
7566 230 4
3574 5260 2
1489 7204 1
9759 3357 3
932 5306 5
9985 4610 8
9871 4687 9
6831 1728 9
60 6312 3
1064 1026 10
7461 9771 5
8386 6876 4
4784 4018 10
6607 3299 3
9592 1792 5
4672 9110 1
2279 2014 3
7143 7674 10
8768 3555 4
2722 3227 3
8518 1670 2
4238 8066 2
9894 1295 3
4697 6856 7
3067 1133 8
917 6917 1
1570 3839 9
6863 573 10
6598 4920 10
89 9892 6
1063 9618 10
4082 9756 1
566 3973 10
5710 7591 8
232 8768 2
1593 5726 6
7455 8720 4
6198 9542 5
636 2982 2
4100 1905 9
6794 7729 5
5740 6636 8
2943 4406 10
3416 2274 4
5382 5210 7
7498 1208 3
4271 1052 1
1624 3172 1
6077 1417 6
7105 4177 8
7905 6054 8
9827 3495 7
6064 508 4
6641 5417 8
6582 6428 5
4043 2401 2
7015 2742 8
7492 6205 10
9857 1112 2
9895 2815 5
109 2010 4
6485 2404 9
2066 7109 7
2860 981 4
9615 2294 2
6786 7595 5
5267 9212 4
8197 3489 10
9197 3682 9
289 6246 10
5368 4298 7
7063 394 4
1774 8422 10
4527 763 7
220 9217 8
1497 8199 9
2628 5768 7
9847 4075 3
6792 7016 1
8633 3098 5
1278 6383 8
402 261 7
8183 2623 5
53 6504 4
3775 6900 8
3152 4920 5
9977 6681 4
7981 2631 6
9427 7139 6
5091 8394 6
2445 6096 10
9434 870 4
8506 4656 10
1300 9903 1
6141 4026 6
5097 1748 4
1202 5175 9
8910 1614 6
4626 5824 10
9121 7596 8
4733 8006 1
6411 395 6
3757 9874 4
9311 8088 2
9131 9769 10
746 6847 6
4375 409 2
2481 8927 1
6476 3543 5
461 8680 4
6739 4047 7
9674 5271 2
4131 3295 3
5111 3362 6
6117 4840 1
8100 7410 4
1033 1585 1
1645 8102 1
723 5066 4
9992 3137 5
6066 649 7
8207 3916 3
5409 1769 9
594 7903 10
8974 2456 6
6784 1948 9
5855 6159 5
7985 3683 1
1297 1581 8
1289 2134 2
504 1176 8
9957 4968 10
7902 2647 3
328 6401 2
3752 7446 3
2305 8226 10
6331 4793 5
2898 6941 1
295 9090 2
5332 3294 1
8686 1992 2
9700 6595 4
9882 6724 7
270 2935 9
9804 8210 4
4525 9558 8
7717 814 4
1824 2915 7
716 9500 6
8175 1582 10
9151 1468 8
9909 8156 4
5134 2243 7
7695 1893 9
8171 7601 3
4270 1070 3
235 9481 5
7228 9454 7
923 492 6
9033 4202 10
5855 5403 5
1360 9319 9
3898 6692 5
8599 9767 2
397 4006 5
6996 633 3
2110 1571 9
3584 6594 1
2300 2324 3
8825 6865 7
2589 5463 7
7932 3948 6
7751 7641 9
3242 7892 3
2802 2176 10
4013 3088 3
3937 4303 6
4736 959 9
1757 7266 1
246 8138 10
413 7139 7
4885 2374 2
4224 9770 6
335 9849 5
603 9699 7
6103 7216 2
2223 7650 7
3115 8972 6
4948 9452 8
8378 3514 1
7947 4080 2
297 7837 7
7853 3483 3
1761 5187 6
5833 2735 9
2990 9414 6
8533 2683 2
4584 3909 10
6626 5927 4
1435 798 5
3396 2791 2
221 9390 5
5781 3563 3
6215 9334 3
9493 4462 1
9647 9576 9
5149 4661 9
5285 4514 5
4596 9459 2
7977 4787 4
6545 255 9
5733 7008 6
2384 7896 10
9664 7479 9
1175 5979 1
4435 9745 10
8111 3547 10
197 7063 9
9813 974 8
1997 9726 4
5345 9661 6
4194 8675 10
1731 927 8
7490 7206 3
2437 7796 2
5859 7171 2
1907 3127 2
4252 6972 7
8914 7704 1
6452 3014 7
8832 8152 8
5463 5040 9
5197 9254 5
1203 2713 1
4280 413 5
7037 2422 2
9242 9986 2
4244 7408 2
2870 8533 2
1987 1546 4
9410 9097 10
6728 3664 4
78 3621 2
7307 9725 8
9160 1862 1
1196 3586 1
8872 8717 1
2717 6157 9
7644 2583 4
4049 1918 6
3510 6376 4
9942 4910 1
4506 3625 1
4392 3265 1
1943 3063 4
2271 8643 1
5290 3332 6
2356 3063 3
1690 949 6
9797 1912 8
5859 6934 8
2293 1492 4
443 9485 1
1918 2735 4
2542 2808 10
7312 7947 2
7168 506 7
2579 6278 3
3593 2419 7
1118 2689 8
6897 9168 5
4817 6536 2
5916 1648 8
5415 3619 7
6675 4384 3
2341 1580 1
282 4346 7
3272 2156 7
4508 6024 3
7442 2528 6
1952 3186 10
5353 1325 8
1272 3928 6
9241 7197 7
3565 9176 3
7750 600 9
9474 6547 2
2082 1024 9
4352 9573 8
5780 9104 10
2636 3761 5
3973 8531 6
65 1181 1
7125 5151 3
3476 7979 4
3353 1453 6
8575 346 5
9104 1367 3
2809 6606 5
871 6558 10
9910 8370 2
6220 3753 3
8428 5165 6
5278 6642 7
1035 8442 2
1984 2840 1
7864 5979 10
6768 4191 7
1943 6684 6
2464 361 1
4893 6651 1
3020 1388 7
4699 6865 3
673 9861 7
4010 8529 8
8580 4565 2
7879 522 4
3898 1790 1
2618 9200 2
9305 4176 4
3172 54 8
8887 3023 10
2957 5628 6
6088 8098 5
9863 6657 4
9987 2743 3
8494 2938 2
4861 5961 9
7360 2588 8
5674 255 3
8388 353 2
862 8699 5
107 4268 5
7339 5238 4
5979 5284 9
5123 6600 7
8043 7552 5
2685 1441 2
6765 8677 5
4703 4104 8
9429 7 8
3469 1148 7
8691 437 6
3845 4386 10
6613 938 10
5408 8229 5
6007 8324 7
3214 9795 9
9820 8190 9
6381 5649 7
393 621 6
2647 962 6
1860 9180 5
3144 9056 6
4430 5776 1
5492 3769 7
3361 2791 3
6182 2501 6
368 3266 6
8927 4066 8
9260 2209 2
3975 7808 8
3128 8209 10
6239 6754 1
7889 2549 2
3851 2846 5
1215 971 7
4015 9725 5
8019 5954 10
4523 365 3
64 364 7
1100 590 8
3478 65 2
1457 6743 6
6227 8205 6
5616 3033 7
2731 9103 8
6823 7289 3
6743 8259 5
9859 2008 8
6013 6813 2
6502 5855 7
7476 2889 4
512 2631 2
8858 9620 3
7288 9214 9
9756 7560 2
8355 2760 2
6805 3421 5
9178 3667 9
4443 765 10
959 1356 8
2439 3463 4
1484 3141 7
9318 9564 4
7512 7969 9
2633 3116 2
157 3947 9
6512 7970 4
5897 1398 9
4438 3115 6
9668 1757 5
9650 2872 5
4333 1042 6
4820 1648 2
5783 1289 5
7154 6952 7
8155 5604 6
237 6497 8
5657 7403 2
1038 2883 6
6217 8272 2
3483 9839 7
9159 5209 5
2391 6688 8
134 6880 9
2406 2430 6
7585 2651 9
7672 4270 3
2889 932 8
9407 3821 6
666 8901 8
6959 4090 8
532 5368 6
12 4299 7
8659 4678 3
3151 6881 1
2418 5870 9
2572 6590 1
900 3103 6
643 4916 5
2479 6942 3
5973 2317 9
3785 2325 7
2697 8917 3
7860 680 6
4040 6266 6
8653 5928 3
7542 6258 9
1718 7380 4
9247 7656 10
5596 9210 10
7374 1903 10
9245 991 1
5608 7317 10
8270 6832 2
9718 316 2
1820 4027 7
7888 8749 6
1113 7737 3
9685 5985 9
9451 3693 2
4537 9022 9
8552 3167 8
2460 9527 8
2219 13 3
11 4371 4
8884 514 7
2663 3095 4
5585 5321 3
9196 72 5
1329 6801 8
684 5159 8
4186 4364 2
453 189 1
4208 2265 2
937 9168 6
317 5896 7
109 8028 4
269 6759 7
2002 7531 7
2058 3452 3
1053 5725 10
2591 3664 2
3542 764 7
1063 3900 9
5622 9619 3
6722 8017 5
2657 1070 3
8155 8829 8
4637 7187 8
1660 8392 8
499 3840 5
1882 2505 10
6958 5883 10
821 7739 6
3493 8645 4
7287 4433 9
694 9606 6
7692 4776 7
7769 8776 2
1138 3789 8
3235 3309 10
2938 6452 3
1320 3428 5
6796 4492 8
9486 3846 5
7651 2133 3
5383 266 3
5158 7590 7
3813 768 5
9758 6955 9
4492 8991 8
4610 3430 5
4663 8907 10
2597 8011 9
3601 74 10
9610 44 9
4533 9029 10
5382 8666 1
6371 6874 5
1931 6002 9
8150 2106 10
1466 1076 1
9360 8940 7
4727 8757 3
7693 2987 6
4620 1150 10
7609 6065 3
4890 7058 5
6027 1222 8
7321 664 3
755 7496 3
6079 645 10
2170 9423 6
701 3501 4
4914 179 7
1265 1900 3
8051 7216 3
8922 2045 10
8284 9183 10
4945 5790 6
5875 6164 2
9029 6709 6
7891 2576 10
2060 182 2
4933 9554 3
6207 5789 2
7371 1845 6
140 2016 4
1859 4345 1
9026 1533 10
8076 5300 4
8667 6117 1
9521 5339 8
9682 4669 10
4286 6546 3
9286 7793 9
5385 1699 10
926 6242 1
2153 8724 5
65 3306 6
3696 1189 9
6851 993 9
284 3344 6
5622 857 5
1071 2802 5
4139 2839 10
2298 33 8
8519 3174 7
9251 544 4
6702 3465 3
7845 7546 10
8186 3988 4
345 1601 3
4513 4471 8
1672 6764 9
8681 6961 1
2095 2881 5
8548 828 8
61 3253 7
4289 3197 2
3197 838 3
9618 2610 1
603 6029 7
2328 4946 2
3722 6598 4
9796 8532 7
5354 6386 10
57 9471 4
5261 9075 7
1289 7942 7
5755 300 10
2206 2010 1
9934 5690 1
7190 9146 3
1171 7984 2
9806 1630 9
3900 2239 10
1245 5349 5
6208 9758 4
8189 3029 9
7547 650 4
6025 3173 9
9578 9186 2
4102 63 8
6941 1351 7
5449 7838 6
3574 1132 10
6654 5087 7
4553 7554 7
7048 2612 9
3002 9353 3
4905 1149 9
2350 6462 4
7643 2800 5
4575 5455 7
5151 4298 1
7389 3781 4
1249 2396 8
616 9708 9
2765 7631 7
6526 3685 1
4544 3242 8
4039 4170 7
7242 8204 5
4231 5760 1
7438 9538 3
5935 270 9
6358 2116 8
3201 4553 5
719 9022 4
7713 7188 4
4210 5176 5
5645 1970 7
7117 9945 1
6137 6672 1
564 5797 1
2107 3676 8
9203 5360 10
497 805 6
4902 8409 3
4523 3456 3
6544 7333 9
9396 9740 5
2124 4085 4
3245 3678 7
8821 1554 2
4129 7966 8
5948 3995 6
7144 2549 3
7136 2874 9
1040 4827 1
7489 3794 5
1119 3020 3
4289 3124 8
9816 9976 4
2847 5267 5
402 4873 8
6823 7944 2
6482 7306 7
2375 707 8
200 3465 3
3751 5197 1
5577 8414 3
9399 9865 1
3255 5059 9
1246 7792 2
2989 333 5
4869 4206 9
136 9933 4
6441 9996 6
1419 1569 2
2318 6990 9
7656 2254 1
9918 9747 8
9195 7942 1
1930 5197 1
6246 3264 10
918 9852 9
8704 7691 10
7704 412 7
5024 5957 7
4194 5444 6
6582 453 3
7994 8894 9
7564 4872 4
2860 880 9
9027 1943 1
6 3319 5
9593 3871 7
164 1201 1
367 7071 8
8084 1022 9
8183 5779 2
9919 6284 3
9546 4640 5
5928 7881 9
801 7801 2
9022 3390 1
4714 1408 6
7242 403 8
2716 8148 2
8787 429 10
5922 6135 1
2287 2656 1
7360 4884 5
335 1649 5
9015 5002 3
7183 2585 1
3347 5863 4
6442 2052 8
7980 5288 2
2174 8496 3
3013 856 1
8209 4334 2
4355 7927 9
6361 1532 5
6421 4942 9
4218 6228 2
2811 3027 9
2091 1550 7
1687 1719 9
3168 7998 7
5942 6627 3
1889 1921 3
1966 5162 3
9390 934 2
99 9955 4
8130 507 1
880 3763 4
5565 128 10
8756 7949 8
6516 9804 6
9050 952 8
5265 5816 3
3209 646 1
523 9166 2
7264 9157 4
7562 6881 10
6201 1065 8
9718 401 6
972 3331 9
17 3043 6
1563 9596 3
8857 2412 5
8168 4343 1
4715 8471 6
952 9791 1
2085 1332 7
3187 7792 4
4149 34 7
3244 9913 2
9954 2340 3
919 6467 3
3322 5257 9
9085 6052 2
293 873 3
8087 1079 5
9637 3966 5
9901 7360 3
6571 5518 1
5998 1612 4
5971 2009 3
5715 4101 4
6763 9556 6
1987 8935 7
1669 9612 8
369 9822 7
4300 7537 7
2657 2157 9
5386 6063 4
9990 8051 3
8685 732 8
4522 1633 5
7484 6474 2
3346 2318 9
8117 5212 9
8885 2574 7
5595 7777 10
7699 7800 3
6736 1783 7
2105 8999 7
4287 9985 3
2390 7697 9
8875 4872 3
8970 2699 1
350 4114 8
4583 1826 3
1286 2492 8
9405 9360 8
7608 7136 4
2756 1127 3
4089 5012 7
5316 2318 5
847 1594 4
9206 961 6
7741 635 1
5526 7923 7
7765 3616 3
5797 205 6
926 9461 1
9034 2358 9
4482 2912 10
5083 9566 8
1454 4529 2
7365 4409 2
9459 7872 6
4047 6245 6
5542 2306 5
4254 7431 7
8467 4505 10
5557 4577 2
8015 204 9
6381 6124 9
3993 36 2
8124 4913 5
3548 8966 6
6697 6686 3
7784 2216 9
3099 3274 3
8186 9073 10
6554 5753 2
4783 4269 3
9936 2117 4
9234 6374 6
9586 3775 9
2293 3171 3
894 6603 8
3355 1399 4
9651 8851 4
2080 1557 4
3723 678 10
2522 1256 2
9532 8621 4
1571 5888 3
4234 9714 7
1199 7995 7
1218 837 10
6784 5265 7
366 21 2
696 6933 5
6739 4754 9
8459 94 9
8855 1626 7
6117 2691 2
1731 6985 1
1141 958 8
9995 4300 9
4299 2669 2
3929 717 4
6069 4545 6
8055 5653 3
7690 2896 1
1534 1282 5
1891 2779 6
5364 2448 9
7352 174 10
1866 2072 10
2848 3414 3
2545 8156 3
7743 8956 6
9990 880 1
6719 8295 1
2483 4008 8
6121 9074 5
382 705 4
8789 3510 4
3833 5025 7
6732 2969 9
2464 1306 5
9333 2583 3
9562 6979 10
3707 7729 3
4458 9450 7
1632 4811 5
4512 5321 3
481 3866 10
7698 9087 4
4445 8436 7
3621 6766 10
3954 7882 4
2124 6739 3
9988 2375 2
1403 9891 8
6574 8799 10
3295 7600 5
4103 7898 6
9418 9195 6
1907 8627 10
1093 7510 8
531 8082 9
7219 7177 8
6873 5758 1
3936 266 10
533 3965 2
1957 9021 7
2257 4026 8
9029 2332 10
9666 6805 5
7714 2347 7
8834 4581 2
9216 8708 1
455 299 7
1039 9342 2
8557 884 4
67 3972 2
5705 6374 5
4106 9567 8
9595 8468 8
642 4000 8
9849 2492 1
5404 2733 1
3095 7180 1
5209 5676 3
3796 8053 3
5750 9671 9
2111 9695 4
1464 1395 2
3777 6488 2
3391 5146 4
8583 7908 9
3657 9773 2
7575 7872 4
5238 894 3
1194 2462 1
9160 1575 1
3936 9708 5
3831 1597 1
2733 475 3
379 4621 7
6496 326 4
5836 2505 5
3515 9352 1
5904 7175 10
1180 6736 8
188 3444 7
8728 4316 2
4439 4471 9
5318 3048 2
5377 7800 2
1426 5812 8
1444 4342 9
422 5584 3
2440 2250 6
6554 7493 9
8631 7250 10
7685 277 1
7695 3481 2
9997 9562 7
346 6403 6
1497 8048 2
5442 7707 1
2257 4337 4
9702 9848 4
7651 4694 1
3659 8816 3
304 416 1
8174 2921 9
2188 6912 2
5465 9723 7
9370 9937 4
5483 8253 8
9401 3660 3
2983 637 10
8625 4683 5
1510 8661 8
898 1823 3
5365 8819 3
1217 4735 10
8273 6553 10
7277 6490 5
4602 2878 6
8844 9844 6
7218 8300 9
9822 3381 7
7332 5291 9
2680 845 6
5453 1056 3
511 879 1
825 5162 2
2554 8841 4
7582 1460 7
5956 5842 9
9532 8118 1
3513 1209 4
2848 7870 1
4233 3420 1
4415 6236 1
5544 8388 1
1853 8359 8
4563 2069 10
8492 1785 2
9656 6932 1
9190 8938 1
2367 222 3
9589 5787 8
4605 5393 8
7861 5422 7
4682 5983 2
8777 8297 3
8080 8346 8
7559 5804 8
4023 7240 4
4453 6932 8
1434 4376 9
7960 6222 7
692 6390 2
2542 6463 3
6488 4437 1
7791 4596 8
3586 6800 10
4993 310 4
2505 882 5
5042 1025 2
4072 7209 6
29 9779 10
7241 4255 3
9426 674 9
8379 5422 6
3168 9587 8
5287 4293 8
4651 4469 1
9726 4328 8
2407 9389 4
3309 5517 2
7200 3972 2
4050 5456 10
7091 9719 10
9490 3747 9
3421 4907 2
3417 7814 4
8884 1797 6
2631 9223 4
9026 8157 5
6000 9171 7
4842 5275 10
3447 6463 4
7130 722 3
1069 3852 8
8482 1275 3
8622 5494 6
4568 3421 2
9229 8311 8
9524 164 8
7182 6171 2
9990 8474 2
773 7052 7
6694 5263 1
1046 5095 3
6822 4212 2
3814 5453 4
5942 5024 3
216 5293 2
3985 3470 1
6523 3494 3
6308 3264 3
3385 8068 2
7665 7838 6
2251 4978 6
5312 2483 4
9133 9984 6
3018 9766 2
8318 8227 4
453 6928 2
7937 2007 10
1425 4710 6
9269 501 2
7456 8328 1
2545 7143 5
9013 8677 5
1308 2239 9
806 6805 8
6906 8168 7
8881 8446 4
1913 6480 8
4997 4118 2
9346 5678 3
6599 9367 10
7960 1929 1
7352 3497 10
8636 7446 3
8073 981 10
9607 3913 9
1566 9429 8
1030 9430 5
6332 3676 10
6031 8893 4
1990 3476 4
8007 6838 1
8883 5093 8
1194 7806 6
7088 5588 5
2251 2578 5
3852 7694 9
8115 8769 6
6468 3050 1
6924 5318 2
3755 2806 2
8501 7371 2
4031 4948 10
8690 8831 6
6977 1500 8
760 6663 1
6855 7043 9
3594 4695 10
2439 170 8
3237 9835 8
1599 5189 3
8036 7744 3
9767 8699 9
3815 9556 3
6352 3014 6
6972 4741 10
6318 3421 10
7847 4635 7
6756 3353 9
1235 5334 7
4197 8362 9
2410 8905 5
1431 6901 2
5524 2842 5
4162 4452 1
6095 2625 10
6558 6812 8
1310 1480 4
6877 3436 10
6385 7731 5
252 9024 1
1513 1925 9
2119 7383 3
6644 7029 5
3479 9395 8
8077 1757 6
608 2468 4
1379 7362 10
3199 9595 1
8234 2054 4
8660 1897 7
4705 4005 4
2988 5665 10
2840 1207 1
2826 3050 1
2510 8485 10
1564 9789 10
4221 3033 3
4006 2407 3
3468 5564 6
3265 7678 8
9783 3918 3
3594 424 9
4287 5772 7
2888 7589 2
3809 9425 8
2720 8980 10
7307 6194 10
4420 273 6
3392 6325 4
5636 2000 5
7675 4325 10
5501 6966 7
239 8570 1
958 5217 1
416 5156 3
3766 835 7
7842 4416 8
9793 5023 9
5357 7170 10
869 1903 6
2473 3431 7
5751 3110 5
6168 8933 7
6065 7585 2
3672 4295 5
9975 9209 9
8572 6410 1
2790 9603 9
6210 9442 8
2227 6250 7
2408 6251 6
5668 7803 10
3446 7314 7
6696 5696 4
9881 5290 3
1799 4113 8
1823 1010 8
5528 8253 3
1729 3333 4
2929 2622 8
5347 1794 3
8600 3069 6
671 2811 3
1909 1268 6
7970 4659 4
6576 6021 3
7806 2548 6
305 1232 6
1482 6910 6
3340 7491 2
5488 1261 9
9095 4142 9
7923 5597 3
4151 1858 5
7365 488 6
3532 3137 4
9687 7708 6
8040 5365 8
1450 1534 1
1992 7002 8
135 3845 5
8404 8723 1
5037 5689 7
8244 9071 9
35 39 5
201 7451 4
3791 3023 6
8969 1013 2
1702 9927 7
9591 4288 6
7364 140 6
6431 4415 2
172 1890 2
2029 1399 7
386 2075 6
9850 9116 5
8726 7371 4
5057 1933 5
1349 6571 10
5911 8702 1
912 4063 4
7378 3927 3
5272 5509 2
5870 5762 3
5388 4369 7
393 9036 4
2749 4788 7
9936 2136 6
5228 3697 9
2487 1981 8
8696 1444 1
8658 6262 1
2898 4005 2
4541 6577 10
7381 3714 4
714 8105 3
6546 5433 3
7335 8461 10
6878 5827 8
1524 2031 10
2998 3248 1
6205 2038 2
4437 2468 4
9065 7133 4
4133 1698 5
1224 2409 8
6930 8101 1
9165 5642 8
9141 283 10
6663 2241 7
6526 5496 7
2230 3999 8
8279 6072 9
4817 2046 1
6401 9236 3
1928 8180 2
1887 1917 2
5550 7888 10
1364 7403 7
437 7271 6
8360 8766 10
1679 1106 2
4872 44 7
6339 175 2
2896 2675 2
4094 4059 5
1717 9955 3
106 4515 10
6227 2779 8
1625 2840 6
5970 5052 3
9513 9057 10
4521 1511 3
1517 7281 9
245 2622 5
3322 6248 8
2504 7018 2
6822 4575 1
5229 2071 5
8445 1934 6
1359 3454 5
9781 9887 3
9339 683 4
9906 6817 6
5471 6631 7
2599 8203 7
1698 9515 3
7874 9833 9
9185 9975 2
2296 8411 3
3158 3281 4
6636 8823 9
8191 7625 2
1101 6959 5
8252 7403 10
7332 815 7
8257 6429 5
2569 3721 4
784 1381 4
6699 8232 6
6688 9325 8
984 5135 4
3080 8060 3
6026 1768 10
8904 8558 9
3938 9905 7
3768 2941 1
6492 8661 9
7292 1836 6
206 1737 4
1391 9345 4
864 3576 4
1633 7010 4
3622 2328 10
2318 4477 3
9064 7656 7
9954 4656 10
6757 4116 3
7595 860 3
7820 9830 3
7398 233 10
5015 18 5
7175 8032 8
5343 6752 8
8557 6960 9
4679 3773 2
2235 1005 4
3564 7476 5
9551 1940 10
3644 7014 8
7412 4358 2
271 5614 4
1938 2668 6
848 9328 1
3112 5128 9
2943 3506 1
6128 9646 3
511 164 8
3443 1601 2
8577 1427 3
9658 4232 1
6474 8064 8
266 4724 9
5342 3672 2
1443 5139 1
8326 7108 9
1750 642 2
3339 8839 6
7735 9410 10
8462 2759 4
7420 4365 8
4610 3004 9
9384 8347 1
7613 6467 2
3550 6260 4
1683 1717 5
8269 745 4
6835 8460 10
1150 6011 8
4921 3525 4
3917 1730 3
4839 8117 7
6854 2432 8
3181 6027 3
6446 3527 5
9234 8386 6
6364 6959 3
5727 3145 8
4462 1478 7
1260 4278 8
683 2884 2
2253 8944 4
623 3221 5
938 5922 5
2889 404 3
8369 9237 7
6440 6927 6
4300 8211 8
4085 9508 10
358 5132 4
6109 5442 1
5580 178 1
6001 2731 6
5626 3649 10
7729 8260 9
8183 943 6
3319 971 1
5619 7953 6
3757 7069 4
702 7568 10
9797 3809 8
2124 5557 7
3613 840 6
6826 8078 5
2577 5981 2
5378 9080 7
4048 1772 10
6451 9099 9
3972 4566 2
5695 1342 1
2226 3334 5
2982 211 7
1036 489 7
4976 8483 9
5163 6455 7
3405 7512 10
8207 4170 10
5078 8737 9
5725 369 8
8077 9577 5
5262 9650 7
7877 8773 2
4499 6204 2
2037 2603 2
3103 6233 6
9787 7997 10
8336 3578 9
4586 2509 10
4603 5651 1
3658 7191 5
501 770 4
938 62 3
6677 6915 3
4324 1963 8
6818 9197 6
418 5497 3
5475 1305 3
9826 4180 6
8474 853 10
4038 3034 5
3666 3888 5
1959 1479 3
9133 3996 10
2297 5898 6
4230 1891 4
6824 7651 10
8830 1215 5
934 7067 6
7060 5901 5
4495 3104 6
182 1577 7
5702 2663 4
1879 8953 4
2130 2410 6
6995 2457 10
9213 503 8
2136 9221 10
4415 1201 6
979 1803 6
6685 9750 5
1225 1316 7
1806 2560 3
1611 3952 10
9405 5217 3
3246 5927 8
4770 3919 9
1799 5675 10
3793 6237 2
4414 1155 7
234 9358 7
9402 2774 2
6791 1968 6
3719 9979 10
6659 1253 6
4319 31 2
5233 8718 1
202 4856 4
3164 7319 5
4522 114 1
9739 3092 7
5342 2553 9
7709 1419 2
7323 8942 9
4704 5844 7
9904 686 3
3794 3293 6
5768 5945 4
1469 2097 3
8886 4323 6
2506 345 3
1965 3058 5
1350 3411 9
6038 8642 2
4865 8035 10
2502 2490 8
9595 2493 6
9064 4417 3
9818 8919 3
2586 5676 5
4277 7652 4
2175 516 9
298 1231 7
4772 2600 4
35 6852 8
8281 321 2
5506 3796 2
3028 3353 8
2085 3475 6
7834 3968 9
8337 9279 4
6161 6532 7
5214 3710 3
6497 737 9
2576 6057 9
7798 124 1
9990 3521 9
3889 8546 9
9944 9061 4
4244 7097 8
7782 2884 2
2190 2839 1
49 4905 8
8049 8460 1
8642 9710 2
1272 9583 9
1892 1216 7
8637 3318 10
9398 3854 9
9558 5155 5
7869 9704 8
8445 2900 1
3732 3249 9
8732 7480 6
1166 3205 7
2191 9867 10
7707 3732 9
553 2488 10
2867 1053 4
912 1016 10
1012 6768 2
6879 6334 4
1769 9209 1
964 8843 5
6534 4803 9
3396 9773 8
9922 5 5
1886 206 7
5593 9160 4
8545 2294 1
1882 2548 8
5672 2002 10
8795 718 5
1797 8700 7
7761 2978 2
3595 7088 6
5826 1201 10
6387 6621 8
196 3707 9
2738 7905 3
5090 5102 10
8229 7247 3
798 6583 7
1179 3474 8
2261 2064 5
3910 7150 10
4461 4157 2
374 4716 9
3343 9356 5
2392 979 5
4516 9042 8
5930 1592 6
9743 5305 10
4017 1686 6
1087 4635 4
2545 6195 4
4672 8536 4
7712 2992 5
2861 5957 2
5259 2359 2
3129 4229 4
2980 2610 2
3536 3275 2
8624 1245 4
2821 947 4
2506 9231 8
2963 4137 7
330 7824 8
7882 8913 5
3193 6993 3
4575 5187 9
1972 1648 8
1063 3216 4
846 483 2
8141 2960 4
2978 2497 6
3475 5199 9
2124 3088 5
522 7374 1
4341 2634 2
8398 4474 1
9716 1216 3
9089 210 9
2583 9816 8
103 5011 6
4850 5425 1
1214 5701 6
324 594 4
1297 5100 10
5941 7384 5
4827 141 2
9192 7385 7
4994 489 9
1962 8988 5
4793 9762 10
6090 9341 2
2544 6238 10
8372 8601 7
1301 2403 3
8879 4751 8
8962 2052 9
6603 7995 9
6840 9804 10
9173 6595 2
5008 5372 7
3465 7871 7
5906 613 5
9361 1827 2
2913 7014 7
7739 9031 5
3756 6893 4
4275 5783 7
1949 8971 6
1478 8180 4
7310 8394 5
4228 6680 5
1476 6307 8
9187 1099 10
6687 5494 2
5861 2912 10
9961 8838 8
5891 9387 3
5093 6284 7
7897 5206 4
626 9358 2
